CSD,BOROUGH,SCHOOL CODE,SCHOOL NAME,GRADE ,PROGRAM TYPE,CORE SUBJECT (MS CORE and 9-12 ONLY),CORE COURSE (MS CORE and 9-12 ONLY),SERVICE CATEGORY(K-9* ONLY),NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE,SIZE OF SMALLEST CLASS,SIZE OF LARGEST CLASS,DATA SOURCE,SCHOOLWIDE PUPIL-TEACHER RATIO
1,M,M015,P.S. 015 Roberto Clemente,0K,GEN ED,-,-,-,19,1,19,19,19,ATS,
1,M,M015,P.S. 015 Roberto Clemente,0K,CTT,-,-,-,21,1,21,21,21,ATS,
1,M,M015,P.S. 015 Roberto Clemente,1,GEN ED,-,-,-,17,1,17,17,17,ATS,
1,M,M015,P.S. 015 Roberto Clemente,1,CTT,-,-,-,17,1,17,17,17,ATS,
1,M,M015,P.S. 015 Roberto Clemente,2,GEN ED,-,-,-,15,1,15,15,15,ATS,
1,M,M015,P.S. 015 Roberto Clemente,2,CTT,-,-,-,17,1,17,17,17,ATS,
1,M,M015,P.S. 015 Roberto Clemente,3,GEN ED,-,-,-,12,1,12,12,12,ATS,
1,M,M015,P.S. 015 Roberto Clemente,3,CTT,-,-,-,15,1,15,15,15,ATS,
1,M,M015,P.S. 015 Roberto Clemente,4,GEN ED,-,-,-,26,2,13,12,14,ATS,
1,M,M015,P.S. 015 Roberto Clemente,5,GEN ED,-,-,-,27,1,27,27,27,ATS,
1,M,M015,P.S. 015 Roberto Clemente,0K-09,SPEC ED,-,-,12:01:01,9,1,9,9,9,ATS,
1,M,M015,P.S. 015 Roberto Clemente,,,,,,,,,,,,8.4
1,M,M019,P.S. 019 Asher Levy,0K,GEN ED,-,-,-,39,2,19.5,18,21,ATS,
1,M,M019,P.S. 019 Asher Levy,0K,CTT,-,-,-,12,1,12,12,12,ATS,
1,M,M019,P.S. 019 Asher Levy,1,GEN ED,-,-,-,39,2,19.5,19,20,ATS,
1,M,M019,P.S. 019 Asher Levy,1,CTT,-,-,-,13,1,13,13,13,ATS,
1,M,M019,P.S. 019 Asher Levy,2,GEN ED,-,-,-,46,2,23,22,24,ATS,
1,M,M019,P.S. 019 Asher Levy,3,GEN ED,-,-,-,35,2,17.5,17,18,ATS,
1,M,M019,P.S. 019 Asher Levy,4,GEN ED,-,-,-,22,1,22,22,22,ATS,
1,M,M019,P.S. 019 Asher Levy,4,CTT,-,-,-,24,1,24,24,24,ATS,
1,M,M019,P.S. 019 Asher Levy,5,GEN ED,-,-,-,22,1,22,22,22,ATS,
1,M,M019,P.S. 019 Asher Levy,5,CTT,-,-,-,21,1,21,21,21,ATS,
1,M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,-,-,12:01,7,1,7,7,7,ATS,
1,M,M019,P.S. 019 Asher Levy,0K-09,SPEC ED,-,-,12:01:01,11,1,11,11,11,ATS,
1,M,M019,P.S. 019 Asher Levy,,,,,,,,,,,,10
1,M,M020,P.S. 020 Anna Silver,0K,GEN ED,-,-,-,89,4,22.3,20,23,ATS,
1,M,M020,P.S. 020 Anna Silver,0K,CTT,-,-,-,22,1,22,22,22,ATS,
1,M,M020,P.S. 020 Anna Silver,1,GEN ED,-,-,-,69,3,23,22,24,ATS,
1,M,M020,P.S. 020 Anna Silver,1,CTT,-,-,-,21,1,21,21,21,ATS,
1,M,M020,P.S. 020 Anna Silver,2,GEN ED,-,-,-,55,3,18.3,16,21,ATS,
